timestamp,src_mac,dst_mac,eth_type,src_ip,dst_ip,protocol,src_port,dst_port,label
1778252537.3565764,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3574526,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.357661,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3578134,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3582244,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3583796,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3585725,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.40012,00:00:00:00:00:01,ff:ff:ff:ff:ff:ff,2054,N/A,N/A,N/A,N/A,N/A,0
1778252537.4010673,00:00:00:00:00:02,00:00:00:00:00:01,2054,N/A,N/A,N/A,N/A,N/A,0
1778252537.4017856,00:00:00:00:00:01,00:00:00:00:00:02,2048,10.0.1.1,10.0.1.2,1,N/A,N/A,0
1778252537.4023912,00:00:00:00:00:02,00:00:00:00:00:01,2048,10.0.1.2,10.0.1.1,1,N/A,N/A,0
1778252537.4111965,00:00:00:00:00:02,00:00:00:00:00:01,2048,10.0.1.2,10.0.1.1,1,N/A,N/A,0
1778252537.4118004,00:00:00:00:00:01,00:00:00:00:00:02,2048,10.0.1.1,10.0.1.2,1,N/A,N/A,0
1778252537.4237573,00:00:00:00:00:03,ff:ff:ff:ff:ff:ff,2054,N/A,N/A,N/A,N/A,N/A,0
1778252537.4279563,e2:6b:b3:eb:2f:de,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.4462657,00:00:00:00:00:05,ff:ff:ff:ff:ff:ff,2054,N/A,N/A,N/A,N/A,N/A,0
1778252537.475302,00:00:00:00:00:01,33:33:ff:00:00:01,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.525346,2a:5c:b5:b6:4e:96,33:33:ff:b6:4e:96,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.587025,00:00:00:00:00:06,33:33:ff:00:00:06,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.6545007,00:00:00:00:00:02,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.7043061,e2:6b:b3:eb:2f:de,33:33:ff:eb:2f:de,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.8090248,00:00:00:00:00:04,33:33:ff:00:00:04,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.8112938,00:00:00:00:00:05,33:33:ff:00:00:05,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.8719277,00:00:00:00:00:04,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.876073,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.9327085,00:00:00:00:00:02,33:33:ff:00:00:02,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.9336019,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.1957188,00:00:00:00:00:03,33:33:ff:00:00:03,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.5139894,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.5148785,00:00:00:00:00:01,33:33:00:00:00:02,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.5786288,2a:5c:b5:b6:4e:96,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.579707,2a:5c:b5:b6:4e:96,33:33:00:00:00:02,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.5805151,2a:5c:b5:b6:4e:96,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
