timestamp,src_mac,dst_mac,eth_type,src_ip,dst_ip,protocol,src_port,dst_port,label
1778252537.3566375,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3576207,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3578734,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3581123,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3587308,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3589768,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.3592167,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.4013805,00:00:00:00:00:01,ff:ff:ff:ff:ff:ff,2054,N/A,N/A,N/A,N/A,N/A,0
1778252537.4227843,00:00:00:00:00:03,ff:ff:ff:ff:ff:ff,2054,N/A,N/A,N/A,N/A,N/A,0
1778252537.4236329,00:00:00:00:00:04,00:00:00:00:00:03,2054,N/A,N/A,N/A,N/A,N/A,0
1778252537.4242992,00:00:00:00:00:03,00:00:00:00:00:04,2048,10.0.2.1,10.0.2.2,1,N/A,N/A,0
1778252537.4249482,00:00:00:00:00:04,00:00:00:00:00:03,2048,10.0.2.2,10.0.2.1,1,N/A,N/A,0
1778252537.4271376,e2:6b:b3:eb:2f:de,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.4320302,00:00:00:00:00:04,00:00:00:00:00:03,2048,10.0.2.2,10.0.2.1,1,N/A,N/A,0
1778252537.4326947,00:00:00:00:00:03,00:00:00:00:00:04,2048,10.0.2.1,10.0.2.2,1,N/A,N/A,0
1778252537.4455602,00:00:00:00:00:05,ff:ff:ff:ff:ff:ff,2054,N/A,N/A,N/A,N/A,N/A,0
1778252537.4760833,00:00:00:00:00:01,33:33:ff:00:00:01,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.584065,00:00:00:00:00:06,33:33:ff:00:00:06,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.6298294,8e:e6:e2:6b:1f:52,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.65791,00:00:00:00:00:02,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.7010698,e2:6b:b3:eb:2f:de,33:33:ff:eb:2f:de,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.805797,00:00:00:00:00:04,33:33:ff:00:00:04,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.8084095,00:00:00:00:00:05,33:33:ff:00:00:05,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.8689055,00:00:00:00:00:04,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.8734348,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.9363623,00:00:00:00:00:02,33:33:ff:00:00:02,34525,N/A,N/A,N/A,N/A,N/A,0
1778252537.9372737,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.1896386,00:00:00:00:00:03,33:33:ff:00:00:03,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.2544017,8e:e6:e2:6b:1f:52,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.2560458,8e:e6:e2:6b:1f:52,33:33:00:00:00:02,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.259327,8e:e6:e2:6b:1f:52,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778252538.3536832,8e:e6:e2:6b:1f:52,33:33:00:00:00:fb,34525,N/A,N/A,N/A,5353,5353,0
