timestamp,src_mac,dst_mac,eth_type,src_ip,dst_ip,protocol,src_port,dst_port,label
1778256368.1085305,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.10949,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.109724,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1099353,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.111021,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1111808,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1113276,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1114867,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1116347,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1117778,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1119204,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1120615,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1122038,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1390655,76:20:6e:3a:2d:52,33:33:ff:3a:2d:52,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1394544,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1399035,76:20:6e:3a:2d:52,33:33:ff:3a:2d:52,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1400428,76:20:6e:3a:2d:52,33:33:ff:3a:2d:52,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1401682,76:20:6e:3a:2d:52,33:33:ff:3a:2d:52,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1405993,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.140769,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.140942,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1419985,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1421955,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1424317,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1426315,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1427798,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778256368.1429234,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
