timestamp,src_mac,dst_mac,eth_type,src_ip,dst_ip,protocol,src_port,dst_port,label
1778254334.7004647,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254334.7006848,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254334.7008345,00:00:00:00:00:03,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254334.7297463,00:00:00:00:00:01,ff:ff:ff:ff:ff:ff,2054,N/A,N/A,N/A,N/A,N/A,0
1778254334.7406237,00:00:00:00:00:05,33:33:ff:00:00:05,34525,N/A,N/A,N/A,N/A,N/A,0
1778254334.7483783,00:00:00:00:00:03,ff:ff:ff:ff:ff:ff,2054,N/A,N/A,N/A,N/A,N/A,0
1778254334.7549849,9e:92:9d:1a:d7:30,33:33:ff:1a:d7:30,34525,N/A,N/A,N/A,N/A,N/A,0
1778254334.7658415,00:00:00:00:00:05,ff:ff:ff:ff:ff:ff,2054,N/A,N/A,N/A,N/A,N/A,0
1778254334.766543,00:00:00:00:00:06,00:00:00:00:00:05,2054,N/A,N/A,N/A,N/A,N/A,0
1778254334.767099,00:00:00:00:00:05,00:00:00:00:00:06,2048,10.0.3.1,10.0.3.2,1,N/A,N/A,0
1778254334.7676191,00:00:00:00:00:06,00:00:00:00:00:05,2048,10.0.3.2,10.0.3.1,1,N/A,N/A,0
1778254334.7740605,00:00:00:00:00:06,00:00:00:00:00:05,2048,10.0.3.2,10.0.3.1,1,N/A,N/A,0
1778254334.7746441,00:00:00:00:00:05,00:00:00:00:00:06,2048,10.0.3.1,10.0.3.2,1,N/A,N/A,0
1778254334.9296694,00:00:00:00:00:04,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254334.9445047,00:00:00:00:00:03,33:33:ff:00:00:03,34525,N/A,N/A,N/A,N/A,N/A,0
1778254334.9965377,9e:92:9d:1a:d7:30,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.036801,00:00:00:00:00:06,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.0431783,00:00:00:00:00:02,33:33:ff:00:00:02,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.1201217,00:00:00:00:00:04,33:33:ff:00:00:04,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.1841655,ee:dc:84:05:50:6a,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.1845834,ee:dc:84:05:50:6a,33:33:ff:05:50:6a,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.1853564,00:00:00:00:00:01,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.315285,00:00:00:00:00:01,33:33:ff:00:00:01,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.380817,00:00:00:00:00:02,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.501017,00:00:00:00:00:05,33:33:00:00:00:16,34525,N/A,N/A,N/A,N/A,N/A,0
1778254335.6333861,00:00:00:00:00:06,33:33:ff:00:00:06,34525,N/A,N/A,N/A,N/A,N/A,0
